popularity_rank,returned_spotify_id,wikidata_qid,spotify_name,monthly_listeners,followers,origin_cluster,origin_resolution,spotify_biography_present,biography_keyword_review,matching_musicbrainz_person,other_person_ids_in_musicbrainz_links,eligibility_review,eligibility_source_url,final_status,final_origin,manual_status,review_priority,mapping_tier,fua_code
137,0Vw76uk7P8yVtTClWyOhac,Q20740961,HONNE,3880260,1667711,,unresolved_generic_or_missing,True,False,,,,,evidence_for_missing_claim,Bow,not_reviewed,high,excluded_no_defensible_fua,
138,3sc7iUG1Wwpwx7bHeZolgx,Q725926,Bananarama,3805410,929042,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
139,1PXHzxRDiLnjqNrRn2Xbsa,Q849429,Underworld,3783264,827351,Cardiff,reviewed_override,True,False,,,,,corrected,Cardiff,corrected,high,strict,UK009F
140,2yEkZBBjhzKzt6LF5XMaFi,Q32825,Blue,3677775,822804,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
141,11wRdbnoYqRddKBrpHt4Ue,Q272517,Kasabian,3649101,1926968,Leicester,reported_place,True,False,,,,,confirmed,Leicester,not_reviewed,,strict,UK014F
142,1uRxRKC7d9zwYGSRflTKDR,Q104771175,SAULT,3625737,653952,,unresolved_generic_or_missing,True,False,,,,,unresolved,,not_reviewed,medium,excluded_no_defensible_fua,
143,5AEG63ajney2BoDXi0Vb84,Q745517,Bad Company,3616192,1458078,Westminster,reported_place,True,False,,,,,confirmed,Westminster,confirmed,high,strict,UK001F
144,4AYkFtEBnNnGuoo8HaHErd,Q745741,Madness,3611935,912052,London,reported_place,True,True,,,,,confirmed,London,confirmed,high,strict,UK001F
145,0kkxsdcaWmWU2yWAqclDh4,Q16672928,Rixton,3592716,784995,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
146,1kDGbuxWknIKx4FlgWxiSp,Q20684996,Nothing But Thieves,3587725,1421470,Southend-on-Sea,reported_place,True,False,,,,,confirmed,Southend-on-Sea,not_reviewed,,strict,UK001F
147,2TwOrUcYnAlIiKmVQkkoSZ,Q107475751,Wet Leg,3584069,989381,Isle of Wight,reviewed_override,True,False,,,,,confirmed,Isle of Wight,not_reviewed,,excluded_no_defensible_fua,
148,3btzEQD6sugImIHPMRgkwV,Q8029799,Wolf Alice,3575621,973763,London,reported_place,True,False,,,,,confirmed,London,not_reviewed,,strict,UK001F
149,1v5bOzXbhrQ57qSvRwGA6s,Q3020511,The Irrepressibles,3531545,266977,London,reported_place,True,False,,,,,confirmed,London,confirmed,high,strict,UK001F
150,4FrXHrpbDLNyO3pbVv8RmF,Q100595483,Sophie and the Giants,3507868,90162,,unresolved_generic_or_missing,True,False,,,,,unresolved,,not_reviewed,medium,excluded_no_defensible_fua,
151,1lYT0A0LV5DUfxr6doRP3d,Q29606,The Stone Roses,3488308,1863145,Manchester,reported_place,True,False,,,,,confirmed,Manchester,not_reviewed,,strict,UK008F
152,057gc1fxmJ2vkctjQJ7Tal,Q201568,The Buggles,3487007,190767,Wimbledon,reported_place,True,False,,,,,confirmed,Wimbledon,not_reviewed,,strict,UK001F
